stim,length,dv,in_dv,history,recall,grp,euclidean_50,correlation_50,cityblock_50,euclidean_100,correlation_100,cityblock_100,euclidean_200,correlation_200,cityblock_200,euclidean_raw,correlation_raw,cityblock_raw
1,32,0.51745,0.546875,3291,0.81,100,1.328511,0.885011,24.929967,1.352928,0.916591,35.655799,1.367102,0.93533,49.74504,1.37523,0.94621,94.98855
2,32,0.589387,0.544792,2738,0.63,72.44680851,1.354247,0.918889,25.422088,1.371155,0.941047,36.095801,1.38123,0.954515,50.271428,1.387222,0.962611,95.801141
3,32,0.603276,0.596875,2563,0.716049383,88.26032541,1.283588,0.826793,24.119837,1.317038,0.869048,34.602115,1.33778,0.895952,48.486938,1.350926,0.913298,93.368306
4,42,0.674858,0.648958,2353,0.846153846,54.26783479,1.332398,0.889761,27.865228,1.35471,0.918761,39.671065,1.368075,0.936527,55.334685,1.376333,0.947638,106.201129
5,40,0.696581,0.642708,2031,0.768292683,65.87609512,1.319196,0.872085,27.731429,1.345975,0.906894,39.691297,1.361275,0.927196,55.458546,1.370675,0.939838,106.174187
6,30,0.342949,0.252083,1765,0.416666667,,1.397993,0.978106,25.415916,1.402886,0.984532,35.699299,1.405618,0.988173,49.421077,1.407155,0.990238,93.246813
7,45,0.551994,0.565625,1961,0.60764422,49.42428035,1.344994,0.906517,29.086954,1.364054,0.931413,41.31517,1.375615,0.946814,57.691598,1.382543,0.956153,110.394056
8,25,0.329772,0.307292,1835,0.219047619,45.10012516,1.402917,0.98503,24.308479,1.406808,0.990063,34.186045,1.408727,0.992555,47.259858,1.409767,0.993921,88.977289
9,30,0.361467,0.301042,1772,0.245283019,46.99624531,1.403268,0.985486,25.529746,1.406607,0.989761,35.943222,1.408318,0.991962,49.734897,1.409478,0.993496,93.525853
10,39,0.643519,0.588542,1898,0.75,51.68961202,1.353938,0.918093,27.555994,1.370856,0.940426,39.07724,1.381301,0.954471,54.398174,1.387376,0.962725,103.547989
11,60,0.613248,0.657292,2017,0.425742574,56.67709637,1.393917,0.972107,34.784717,1.400138,0.980511,49.020524,1.404004,0.985805,68.017993,1.405935,0.988454,128.65849
12,40,0.530983,0.6,1590,0.447619048,59.28035044,1.362319,0.929447,28.567096,1.377272,0.949252,40.497144,1.386076,0.961105,56.258525,1.391227,0.968097,107.591471
13,40,0.498219,0.579167,1429,0.494505495,67.59073842,1.38665,0.962332,29.034606,1.394684,0.973047,40.981882,1.399669,0.979823,56.897678,1.402461,0.98364,108.207277
14,40,0.684473,0.740625,1191,0.59,44.06758448,1.360533,0.927447,28.626962,1.375437,0.946914,40.622572,1.384683,0.959264,56.609623,1.390139,0.966638,107.447684
15,45,0.660613,0.661458,1282,0.79,59.45556946,1.348471,0.911315,29.072433,1.367371,0.935981,41.384604,1.377919,0.950015,57.690735,1.384506,0.958886,110.517306
16,57,0.673433,0.54375,2703,0.62,53.49812265,1.354519,0.918945,32.660771,1.372335,0.942485,46.507309,1.382221,0.955773,64.811774,1.38816,0.963832,123.829728
17,47,0.685541,0.579167,2325,0.653465347,60.89486859,1.352559,0.916798,29.974831,1.370113,0.939708,42.675359,1.380145,0.953064,59.465032,1.38639,0.961485,113.927709
18,42,0.66916,0.53125,2122,0.65,55.7571965,1.381688,0.955613,29.129143,1.391578,0.968836,41.099727,1.396918,0.976038,57.132841,1.40025,0.980581,108.556718
19,45,0.661681,0.477083,1709,0.68,61.61451815,1.368928,0.938186,29.73223,1.382972,0.956944,42.156991,1.390286,0.966826,58.558511,1.394736,0.972899,111.013977
20,45,0.663105,0.48125,1926,0.63,48.95494368,1.357407,0.923418,29.278782,1.373915,0.94497,41.620169,1.383685,0.957974,58.045921,1.389275,0.965502,110.591135
21,45,0.617165,0.471875,1576,0.62,52.21526909,1.344471,0.905392,29.181875,1.363891,0.930948,41.500448,1.375671,0.946743,57.901916,1.382691,0.956258,110.326619
22,45,0.648504,0.48125,1324,0.579439252,48.8485607,1.368818,0.937973,29.670866,1.38099,0.954157,41.919741,1.388919,0.964899,58.335459,1.393546,0.971221,111.00106
23,40,0.434473,0.389583,2157,0.590163934,56.3204005,1.370655,0.940803,28.609739,1.38339,0.957652,40.576492,1.390377,0.967046,56.40327,1.39491,0.973202,107.879573
24,25,0.503917,0.529167,1268,0.38,45.53817272,1.379353,0.953034,23.670734,1.390029,0.966997,33.469007,1.396028,0.975003,46.44804,1.399528,0.979713,88.388418
25,46,0.688746,0.682292,2563,,32.79098874,1.331928,0.889057,29.796892,1.354339,0.9182,42.459446,1.368305,0.936782,59.336007,1.376519,0.947844,113.268235
