stim,length,dv,in_dv,history,recall,grp,euclidean_50,correlation_50,cityblock_50,euclidean_100,correlation_100,cityblock_100,euclidean_200,correlation_200,cityblock_200,euclidean_raw,correlation_raw,cityblock_raw
1,32,0.51745,0.502083,3291,0.81,100,1.340786,0.90238,27.664325,1.35717,0.92313,39.308648,1.368396,0.937692,55.106009,1.375944,0.947613,109.929687
2,32,0.589387,0.46875,2738,0.63,72.44680851,1.306962,0.856741,27.53683,1.330194,0.886455,39.154383,1.346722,0.907984,54.974322,1.357946,0.922836,108.582114
3,32,0.603276,0.625,2563,0.716049383,88.26032541,1.176415,0.69669,24.531242,1.221198,0.748884,35.645917,1.253365,0.787816,50.567408,1.27745,0.817727,102.154148
4,42,0.674858,0.60625,2353,0.846153846,54.26783479,1.300807,0.851443,30.793067,1.324898,0.881214,44.039212,1.341294,0.901968,61.875966,1.352959,0.917007,124.196499
5,40,0.696581,0.629167,2031,0.768292683,65.87609512,1.257087,0.794796,29.173189,1.289886,0.834938,42.018198,1.312842,0.863889,59.287959,1.329222,0.884959,119.088374
6,30,0.342949,0.254167,1765,0.416666667,,1.390514,0.968707,29.289481,1.39612,0.975746,41.232377,1.399886,0.9806,57.229667,1.402891,0.984566,112.304769
7,45,0.551994,0.491667,1961,0.60764422,49.42428035,1.28937,0.834886,31.807691,1.315406,0.867536,45.534366,1.332707,0.88969,63.982817,1.345191,0.905968,128.889441
8,25,0.329772,0.3875,1835,0.219047619,45.10012516,1.393754,0.972708,26.842775,1.398327,0.978528,37.60395,1.40217,0.98359,52.268281,1.404492,0.986669,101.263732
9,30,0.361467,0.427083,1772,0.245283019,46.99624531,1.39097,0.968654,29.494577,1.397756,0.977588,41.374531,1.401056,0.981957,57.414223,1.403419,0.985119,112.025252
10,39,0.643519,0.597917,1898,0.75,51.68961202,1.318019,0.87641,30.040931,1.339124,0.901619,42.852092,1.352681,0.918255,60.044588,1.362434,0.930542,121.631248
11,60,0.613248,0.560417,2017,0.425742574,56.67709637,1.391385,0.969167,39.237773,1.397064,0.97661,55.309068,1.400726,0.981482,77.054335,1.403152,0.984739,152.817208
12,40,0.530983,0.535417,1590,0.447619048,59.28035044,1.366532,0.935689,31.929073,1.377355,0.949752,45.024827,1.384515,0.959212,62.880076,1.389528,0.965936,124.506759
13,40,0.498219,0.5125,1429,0.494505495,67.59073842,1.388375,0.96572,32.116474,1.394846,0.973972,45.322065,1.399193,0.979622,63.117827,1.402149,0.983523,125.43665
14,40,0.684473,0.727083,1191,0.59,44.06758448,1.335886,0.895647,31.029161,1.352901,0.917308,43.930733,1.364634,0.932517,61.472583,1.373057,0.943618,122.695375
15,45,0.660613,0.710417,1282,0.79,59.45556946,1.343193,0.905641,33.098694,1.358038,0.924393,46.947084,1.36848,0.93794,65.647023,1.375654,0.947354,131.768864
16,57,0.673433,0.575,2703,0.62,53.49812265,1.349566,0.913406,36.733036,1.364412,0.932463,52.18902,1.373534,0.944415,72.833933,1.380215,0.953273,145.657774
17,47,0.685541,0.558333,2325,0.653465347,60.89486859,1.326306,0.882635,32.917451,1.345454,0.907099,46.819088,1.35863,0.92424,65.545615,1.368005,0.936628,131.058165
18,42,0.66916,0.535417,2122,0.65,55.7571965,1.351287,0.915114,32.188298,1.365351,0.933442,45.595928,1.374281,0.945215,63.634548,1.38086,0.954012,126.512694
19,45,0.661681,0.491667,1709,0.68,61.61451815,1.344688,0.90699,33.265158,1.360001,0.926623,47.174432,1.370024,0.939704,65.837013,1.37705,0.948995,132.313018
20,45,0.663105,0.572917,1926,0.63,48.95494368,1.330694,0.889413,32.989168,1.348715,0.911972,46.918938,1.361501,0.928454,65.747767,1.370288,0.939972,131.405638
21,45,0.617165,0.485417,1576,0.62,52.21526909,1.296839,0.845093,32.590094,1.323196,0.878038,46.499412,1.340354,0.900002,65.284286,1.352621,0.916007,129.675529
22,45,0.648504,0.55,1324,0.579439252,48.8485607,1.325006,0.880394,33.107485,1.343734,0.904455,47.023405,1.356695,0.921382,65.828644,1.365783,0.933452,131.044463
23,40,0.434473,0.44375,2157,0.590163934,56.3204005,1.349351,0.913882,31.1276,1.364782,0.933443,44.332478,1.374626,0.946178,61.993943,1.381152,0.95473,123.496018
24,25,0.503917,0.429167,1268,0.38,45.53817272,1.335111,0.894433,25.332339,1.354908,0.919754,36.095214,1.367325,0.936005,50.509493,1.375582,0.946956,99.188777
25,46,0.688746,0.654167,2563,,32.79098874,1.33302,0.891906,32.626895,1.350663,0.914299,46.398468,1.362484,0.929615,65.012754,1.370655,0.94036,130.954513
26,40,0.676638,0.677083,1933,,71.36420526,1.29854,0.847909,29.793006,1.322825,0.877995,42.66718,1.339322,0.898922,60.071662,1.351151,0.914256,120.83451
27,39,0.660256,0.627083,1324,,27.97246558,1.366269,0.936695,31.173015,1.376891,0.94998,44.168813,1.383785,0.958808,61.787146,1.389087,0.965745,124.38968
28,30,0.320869,0.4125,2444,,85.68210263,1.392842,0.971383,29.057973,1.398876,0.979241,40.791473,1.40197,0.983301,56.611632,1.404105,0.986117,111.475057
29,35,0.597934,0.579167,1611,,9.605757196,1.347863,0.911387,29.762438,1.363507,0.931429,42.228183,1.373756,0.944825,59.056467,1.380849,0.954232,117.17132
30,35,0.554131,0.529167,1611,,14.28660826,1.352067,0.915776,30.139349,1.3652,0.932958,42.640352,1.374603,0.94546,59.566822,1.381517,0.954763,117.237421
31,60,0.656695,0.664583,1198,,37.09637046,1.3589,0.924447,39.003431,1.371955,0.941827,55.232246,1.380547,0.953416,77.156798,1.386338,0.961283,151.893455
32,31,0.587251,0.6,1275,,45.38798498,1.269536,0.810765,26.539205,1.300123,0.848288,38.042181,1.321279,0.875014,53.560695,1.335799,0.893744,106.561418
33,65,0.625356,0.629167,1422,,34.78723404,1.359548,0.926186,39.775432,1.370869,0.940872,56.20555,1.37934,0.952086,78.592484,1.385059,0.959757,156.467892
34,32,0.372863,0.420833,1198,,92.14643304,1.366838,0.936845,28.553417,1.377349,0.950184,40.260916,1.384668,0.959709,56.098524,1.389965,0.966739,111.292454
35,40,0.554843,0.577083,1121,,62.15894869,1.384822,0.960501,32.190511,1.390355,0.967557,45.321668,1.395155,0.973896,62.998952,1.398236,0.977998,125.041207
