stim,length,dv,in_dv,euclidean_50,correlation_50,cityblock_50,euclidean_100,correlation_100,cityblock_100,euclidean_200,correlation_200,cityblock_200,euclidean_raw,correlation_raw,cityblock_raw
1,125,2.197917,2.357143,1.372927,0.944006,55.258743,1.382638,0.956766,79.193619,1.39022,0.966918,113.747231,1.397945,0.977396,183.87658
2,131,2.776042,2.375,1.329769,0.885976,55.069315,1.34863,0.910524,79.319374,1.363993,0.930945,114.514293,1.379659,0.952078,185.420873
3,130,2.447917,2.446429,1.366638,0.935323,56.676345,1.37827,0.950693,81.279899,1.387421,0.962992,116.846543,1.396215,0.974964,188.094619
4,66,1.734375,2.25,1.284555,0.828272,38.572874,1.313158,0.864251,55.997869,1.335694,0.893371,81.295136,1.359514,0.924836,131.890054
5,142,2.739583,2.232143,1.334318,0.892211,57.17926,1.353,0.916567,82.397612,1.367782,0.936177,119.007211,1.382516,0.956054,192.729233
6,134,2.364583,2.571429,1.329622,0.887175,54.962773,1.349323,0.91235,79.4075,1.364922,0.932747,114.868445,1.380694,0.953783,187.43078
7,150,3.307292,2.767857,1.310392,0.860406,58.070125,1.334029,0.89099,83.981545,1.352628,0.915522,121.574269,1.37245,0.942162,197.109046
8,143,1.692708,2.625,1.3357,0.894784,58.299867,1.355216,0.919905,84.080969,1.369764,0.939075,121.277951,1.384069,0.958275,194.39294
9,141,2,1.857143,1.338709,0.898346,57.471115,1.356473,0.921399,82.90075,1.370377,0.93983,119.64046,1.384481,0.958815,192.950099
10,131,1.625,2.017857,1.385703,0.961162,57.506776,1.392539,0.970239,82.265445,1.397886,0.97742,118.019693,1.403177,0.984634,189.19051
11,141,1.895833,2.285714,1.37602,0.94777,59.431199,1.385346,0.960219,84.958205,1.392606,0.970052,121.785908,1.399448,0.979416,195.010594
12,142,3.505208,2.892857,1.363285,0.930642,58.65109,1.374611,0.945603,83.934835,1.383912,0.9581,120.565886,1.393754,0.97151,194.217321
13,147,3.385417,3.375,1.33113,0.887812,58.54804,1.350213,0.912629,84.473895,1.365038,0.932331,121.962888,1.380945,0.953827,196.888689
14,143,1.786458,2.464286,1.363037,0.930146,59.371839,1.375233,0.946386,85.043953,1.384904,0.959431,122.105196,1.394463,0.972479,195.779404
15,145,3.036458,2.839286,1.37017,0.939764,60.155642,1.380557,0.953605,86.182651,1.388533,0.964393,123.587388,1.397081,0.976093,197.711806
16,136,1.145833,2.267857,1.365652,0.933887,57.719698,1.37746,0.949525,82.707466,1.386612,0.961834,118.76059,1.395449,0.973863,190.610917
17,137,3.3125,3.196429,1.304004,0.853052,55.071924,1.328761,0.884589,79.849267,1.348725,0.910627,115.734483,1.369167,0.937853,187.845371
18,133,2.552083,2.303571,1.319336,0.87456,54.813146,1.340679,0.901384,79.294423,1.357509,0.923074,114.848303,1.37484,0.945907,186.892649
